Model,Accuracy,Precision,Recall,F1-Score,Parameters,Efficiency
Hybrid CNN-LSTM,0.7028963869811884,0.6956010223859641,0.7028963869811884,0.6894689917533923,766468,0.8995404788632954
LSTM-Attention,0.6989150990345376,0.7007510730262817,0.6989150990345376,0.6875407687066062,846723,0.8120019991267583
TimesNet,0.6923459739225639,0.684576994640754,0.6923459739225639,0.6770531086076441,1037193,0.6527744678257992
CNN-ResNet1D,0.6948342788892207,0.6921416328011504,0.6948342788892207,0.6645767550354074,4013891,0.1655692082907601
